first_gene	last_gene	max_t
rpmJ	rplN	95.62007170737957
tufA	rpsL	38.481823926616975
rplS	rpsP	75.45580120859326
rpsF	rplI	43.56433349779433
cspC	yobF	30.378834119368634
gatD	gatY	77.71193856728837
rpmH	rnpA	79.84035194037578
tyrA	aroF	16.26283786743316
ahpC	ahpF	63.6891355996605
cmk	ihfB	75.5360452037823
yceD	fabF	28.920757246207515
atpC	atpI	43.38789413824726
pyrI	pyrL	32.21583273106017
aceB	aceK	33.08913237040344
fliY	fliA	14.110461906992443
flgB	flgJ	39.70638626699976
tolB	ybgF	41.753726325745
oppA	oppF	68.71270552229917
glpX	glpF	56.84733904319579
pdhR	lpd	12.830519904876887
pntB	pntA	11.95266874673795
rpoS	nlpD	31.826996771310892
fbaA	epd	13.666491959518686
fliD	fliT	12.101387017604557
entD	fepA	35.84297457261459
cyoE	cyoA	32.51021414266518
aroL	aroM	45.39100552860406
yeiB	folE	33.67341116285381
accB	accC	11.944585653366861
secE	nusG	12.019563946347228
prc	proQ	15.551922854179264
trpA	trpL	39.093145521031246
thiH	thiC	43.874046021923036
dppF	dppA	66.67520572508695
thrL	thrC	46.96153548182502
fecR	fecI	19.2974016231716
lpxH	ppiB	33.12228562780453
gltB	gltF	35.91340146737313
iscA	iscR	11.80677322987913
dapD	map	25.578177463817923
fur	fldA	53.832193575932
metQ	metN	34.209439171482714
fes	fepE	35.42951786587949
nnr	hflC	27.371151070790113
dnaK	dnaJ	20.525173198143715
yeeD	yeeE	17.327335975659995
tgt	secF	18.146483319425183
tatA	tatD	27.700584485426415
bfr	bfd	18.37820390352001
leuD	leuL	28.063436884384636
hisP	argT	32.81378781622199
fimA	fimH	63.41990669339803
ydiH	ydiJ	27.20102908456804
yejL	yejM	18.34601241367193
livF	livK	23.680356352668653
cheZ	tar	19.13384692282545
hha	tomB	19.32043288012562
cysC	cysD	17.61491293637049
yfgC	yfgD	17.484550265625675
tolC	ygiC	16.09587885612409
rho	rho	11.738511758845416
glnQ	glnH	18.554016468273172
trpS	aroK	18.8232412143942
fliL	fliR	21.906691299261276
gluQ	sfsA	21.269741951956334
iscX	hscB	12.052379661420996
rpoZ	recG	21.446636286644388
yrbG	npr	24.396853454015645
lnt	ybeZ	12.041511955224655
rof	yaeP	21.966148846293635
ubiX	cvpA	20.82871777447219
uraA	upp	19.030024948360396
pdxY	pdxH	13.561667741186943
rseC	rpoE	19.03794010078437
yajO	xseB	23.72353637219894
apaH	lptD	11.947391214561101
pheL	pheA	33.00398131741773
ribF	ispH	14.168105362515515
nrdR	pgpA	23.21918355797769
mraZ	lpxC	13.144361170210079
potD	potA	21.449563767305847
yifL	yigB	15.891307102835412
hinT	ycfP	13.359765727332777
uvrC	uvrY	16.306593028320684
hisL	hisI	23.243710032496256
yfcL	prmB	12.10762327882785
cobC	leuS	18.688735119881706
cusC	cusA	19.638686563877897
yabP	yabP	15.599565424230727
nuoN	nuoA	17.685763159818762
visC	ygfB	11.663602159910551
galM	galE	18.862472172888527
secM	mutT	17.058421785652158
deoC	deoD	12.531045341500326
recX	recA	17.08313848433657
tamA	ytfP	18.82737957124931
modA	modC	12.227594903655893
hldD	waaL	15.428197122447813
gtrA	gtrS	16.873507420090522
narL	narX	13.596398345832702
yhiD	hdeA	20.26997535178757
fhuA	fhuB	20.387592511117333
mprA	emrB	15.71357795118237
iaaA	gsiD	14.123724470628554
ymiA	yciX	17.66431499471543
pepQ	hemG	14.720551174039894
yrdB	yrdD	13.373741409596411
ilvL	ilvA	14.918392262766975
yadS	mtn	17.76253926853161
uhpC	ivbL	18.364062350803188
feoA	feoC	12.455829545521505
mscM	psd	13.013503566262687
dedA	pdxB	13.532321328148216
actP	acs	13.42213744789855
insA	insB1	12.293632471913835
yceO	solA	16.246046180405795
puuD	puuE	15.764091911510436
puuP	puuA	14.101588928255701
potF	potI	14.72100641746115
wecA	wecG	13.16925806555245
yjjQ	bglJ	13.317790211080986
pspA	pspE	14.944423141568668
ycaI	ycaQ	13.550578665591948
eutR	eutB	12.092195221854796
nsrR	yjfJ	11.805311096571849
ykfI	yafY	13.777674798844886
