"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM0-45923	4009073	COLI-K12-80
PM0-44380	193411	COLI-K12-3
PM-8766	2535337	COLI-K12-50 // TU-8383
PM0-9545	1489530	COLI-K12-29 // TU0-14392
PM0-10550	4105545	COLI-K12-82 // TU0-14813
PM0-44742	1145830	COLI-K12-22
PM0-4763	3576903	COLI-K12-71 // TU0-4523
PM00136	4412270	COLI-K12-88 // TU00095
PM0-9688	1878018	COLI-K12-37 // TU0-13407
PM0-45109	1908164	COLI-K12-38
PM0-4445	3245665	COLI-K12-65 // TU0-4205
PM00580	4352820	COLI-K12-87 // TU00429
PM0-44814	1255334	COLI-K12-25
PM0-45470	2898431	COLI-K12-58
PM00234	2940661	COLI-K12-58 // TU00171
PM0-45838	3718617	COLI-K12-74
PM0-45178	2042787	COLI-K12-40
PM0-10356	4392115	COLI-K12-88 // TU0-8611
PM00651	2060276	COLI-K12-41 // TU00499
PM0-46323	956802	COLI-K12-19 // TU0-42569
PM0-45542	3087610	COLI-K12-61
PM0-44364	155518	COLI-K12-3
PM0-45907	3948198	COLI-K12-79
PM0-9421	3340248	COLI-K12-66 // TU0-14291
PM0-10512	1846053	COLI-K12-37 // TU0-14798
PM0-44726	1104635	COLI-K12-22
PM0-46409	2412508	COLI-K12-48 // TU0-8302
PM00110	2459227	COLI-K12-49 // TU00080
PM0-9632	2689362	COLI-K12-53 // TU0-13666
PM0-45093	1878791	COLI-K12-37
PM0-44435	317708	COLI-K12-6
PM00563	1999843	COLI-K12-40 // TU00415
PM0-44798	1218163	COLI-K12-24
PM0-45454	2807617	COLI-K12-56
PM00212	4328343	COLI-K12-86 // TU00155
PM0-45822	3694238	COLI-K12-74
PM00635	2531630	COLI-K12-50 // TU00483
PM0-10287	3662674	COLI-K12-73 // TU0-14718
PM0-45165	2026434	COLI-K12-40
PM0-46305	3378720	COLI-K12-67 // TU0-42560
PM0-45526	3022282	COLI-K12-60
PM0-4435	3294371	COLI-K12-66 // TU0-6361
PM0-45894	3894680	COLI-K12-78
PM0-9379		TU0-14129
PM0-10471	494041	COLI-K12-9 // TU0-14784
PM0-44710	1055443	COLI-K12-21
PM0-46385	1105026	TU0-13123 // COLI-K12-22 // TU0-42666
PM00091	4272034	COLI-K12-85 // TU00065
PM0-9601	4276089	COLI-K12-85 // TU0-8519
PM0-45077	1852910	COLI-K12-37
PM0-44420	294884	COLI-K12-5
