"Transcription-Units"	"Sequence - coordinates of DNA region"
TU0-5081	[uidABC 1,691,586 &larr; 1,696,071]
TU0-13686	[TU0-13686 2,754,896 &rarr; 2,755,378]
TU0-13089	[TU0-13089 971,752 &rarr; 972,645]
TU00236	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]
TU0-8529	[thiI 441,549 &rarr; 442,997]
TU0-14077	[TU0-14077 4,102,822 &rarr; 4,103,496]
TU0-13486	[TU0-13486 2,079,533 &larr; 2,080,591]
TU581	[hlyE 1,229,483 &larr; 1,230,394]
TU00049	[ompC 2,311,646 &larr; 2,312,749]
TU0-14551	[tdcBCDEFG 3,258,285 &larr; 3,266,028]
TU0-13882	[TU0-13882 3,319,988 &larr; 3,321,613]
TU0-42451	[araFGH 1,982,554 &larr; 1,986,128]
TU00430	[trmA 4,162,170 &larr; 4,163,270]
TU0-12873	[TU0-12873 295,139 &larr; 295,579]
TU0-14300	[yadMLKC 149,715 &larr; 152,812]
TU0-7181	[istR-2 3,853,118 &larr; 3,853,257]
TU0-1805	[pspF 1,366,935 &larr; 1,367,912]
TU0-13272	[TU0-13272 1,519,027 &rarr; 1,520,064]
TU0-4906	[gapA 1,862,771 &rarr; 1,863,766]
TU0-8707	[ydgC 1,681,695 &larr; 1,682,030]
TU0-13073	[TU0-13073 904,593 &rarr; 905,743]
TU0-13667	[TU0-13667 2,697,354 &larr; 2,698,550]
TU0-8511	[slyA 1,720,390 &larr; 1,720,824]
TU00220	[trpR 4,632,760 &rarr; 4,633,086]
TU0-13467	[TU0-13467 2,036,794 &larr; 2,038,823]
TU0-14061	[TU0-14061 4,058,407 &rarr; 4,060,230]
TU00033	[ilvY 3,956,927 &larr; 3,957,820]
TU503	[cfa 1,741,413 &rarr; 1,742,561]
TU0-13866	[TU0-13866 3,252,304 &rarr; 3,252,669]
TU0-14529	[caiCDE 34,781 &larr; 37,824]
TU00412	[fimB 4,540,957 &rarr; 4,541,559]
TU0-4192	[htrG 3,201,207 &rarr; 3,201,827]
TU0-14275	[ygbK 2,862,335 &rarr; 2,863,501]
TU0-12855	[TU0-12855 253,467 &rarr; 254,202]
TU0-1581	[cspA 3,720,049 &rarr; 3,720,261]
TU0-6982	[cspB 1,641,339 &larr; 1,641,554]
TU0-4701	[lacZYA 361,249 &larr; 366,305]
TU0-13255	[TU0-13255 1,491,922 &larr; 1,492,071]
TU0-13057	[TU0-13057 843,255 &larr; 845,480]
TU0-8690	[ychN 1,273,246 &larr; 1,273,599]
TU0-8494	[purT 1,930,881 &rarr; 1,932,059]
TU0-13650	[TU0-13650 2,643,129 &larr; 2,644,283]
TU0-13448	[TU0-13448 1,987,839 &larr; 1,987,998]
TU00203	[prs 1,260,928 &larr; 1,261,875]
TU00017	[deoCABD 4,617,323 &rarr; 4,621,602]
TU0-14044	[TU0-14044 4,003,288 &larr; 4,004,178]
TU0-13848	[TU0-13848 3,204,221 &larr; 3,204,589]
TU442	[fabDG-acpP 1,149,728 &rarr; 1,151,851]
TU00396	[treA 1,245,679 &larr; 1,247,376]
TU0-14510	[rrfG 2,726,069 &larr; 2,726,188]
TU0-14247	[TU0-14247 248,358 &larr; 250,070]
TU0-41792	[TU0-41792 1,568,954 &larr; 1,570,489]
TU0-14817	[pgk 3,071,459 &larr; 3,072,622]
TU0-12839	[TU0-12839 229,167 &rarr; 229,970]
TU0-4483	[rpiB 4,313,350 &rarr; 4,313,799]
TU0-6687	[valS 4,480,982 &larr; 4,483,837]
TU0-13040	[TU0-13040 792,316 &larr; 794,644]
TU0-13238	[TU0-13238 1,433,991 &larr; 1,434,224]
TU0-8477	[cysS 554,611 &rarr; 555,996]
TU0-8673	[ycaK 949,668 &rarr; 950,258]
TU0-13432	[TU0-13432 1,923,365 &larr; 1,924,969]
TU0-13633	[TU0-13633 2,564,523 &rarr; 2,565,332]
TU00001	[aceBAK 4,215,478 &rarr; 4,220,332]
TU00187	[malI 1,698,152 &larr; 1,699,180]
TU0-13831	[TU0-13831 3,166,111 &larr; 3,167,718]
TU0-14027	[TU0-14027 3,898,022 &rarr; 3,898,609]
TU00380	[pflB 951,272 &larr; 953,554]
TU358	[cydAB 771,458 &rarr; 774,181]
TU0-14232	[TU0-14232 3,149,662 &rarr; 3,150,546]
TU0-14488	[hepA 60,358 &larr; 63,264]
TU0-14792	[TU0-14792 3,000,345 &rarr; 3,003,968]
TU0-4146	[hlpA-lpxD-fabZ-lpxA 200,482 &rarr; 203,348]
TU0-42694	[aroD 1,774,686 &rarr; 1,775,444]
TU0-12820	[TU0-12820 164,730 &rarr; 167,264]
TU0-13024	[TU0-13024 715,412 &rarr; 715,906]
TU0-6636	[atpBEFHAGDC 3,915,553 &larr; 3,922,051]
TU0-8368	[cobUST 2,063,388 &larr; 2,065,764]
TU0-13221	[TU0-13221 1,397,672 &larr; 1,398,622]
TU0-13416	[TU0-13416 1,894,133 &rarr; 1,894,432]
TU0-8654	[yqgD 3,086,399 &larr; 3,086,650]
TU0-8865	[tyrS-pdxY 1,715,026 &larr; 1,717,222]
TU0-13615	[TU0-13615 2,509,630 &rarr; 2,510,886]
TU0-13815	[TU0-13815 3,114,550 &larr; 3,119,112]
TU00171	[gcvA 2,941,650 &larr; 2,942,567]
TU00363	[umpG-pcm 2,868,893 &larr; 2,870,274]
TU0-14011	[TU0-14011 3,841,950 &larr; 3,842,402]
TU0-8862	[trpS 3,512,634 &larr; 3,513,638]
TU3	[trpCBA 1,316,416 &larr; 1,319,788]
TU0-13811	[TU0-13811 3,110,590 &larr; 3,111,988]
TU0-14465	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]
TU00360	[speF-potE 716,946 &larr; 720,460]
TU0-3645	[rutABCDEFG 1,068,511 &larr; 1,074,011]
TU0-14212	[TU0-14212 4,597,150 &larr; 4,599,441]
TU0-12805	[TU0-12805 72,229 &larr; 77,299]
