"Terminator ID"	"Left-End-Position"	"Right-End-Position"	"Component-Of"
TERM0421	3577006	3577038	COLI-K12-71 // TU0-42512
TERM0202	2822670	2822687	COLI-K12-56 // TU00062
TERM0-1280	3967677	3967731	TU0-6941 // COLI-K12-79
TERM0-1264	765104	765158	TU00408 // COLI-K12-15
TERM0-1247	3708409	3708447	TU00519 // COLI-K12-74
TERM0981	900695	900725	COLI-K12-18 // TU0-14678 // TU0-14677 // TU0-14676 // TU00240
TERM0-1231	4240734	4240777	TU0-14113 // COLI-K12-85
ILVA-RHO-TERMINATOR	3957062	3957123	COLI-K12-79 // TU0-6651 // TU526 // TU524 // TU525
TERM0-1207	1031551	1031574	TU00509 // COLI-K12-20
TERM01022	762959	762966	COLI-K12-15 // TU0-42509
TERM0-1181	3383281	3383316	COLI-K12-67 // TU0-42561
TERM0-1193	787763	787768	TU00025 // COLI-K12-15
TERM0-1161	1563276	1563301	COLI-K12-31 // TU0-8478
TERM0-1190	789840	789918	TU0-42581 // COLI-K12-15
TERM0-1141	1622817	1622874	COLI-K12-32 // TU0-14797
TERM0-1158	3056235	3056283	COLI-K12-61 // TU0-36424 // TU0-36423
TERM0-1115	4171760	4171803	COLI-K12-83 // TU0-14528 // TU0-3364 // TU0-1182
TERM0982	899648	899665	COLI-K12-18 // TU0-8161
TERM0-1093	3910443	3910473	COLI-K12-78 // TU0-14692
TERM0-1082	3966305	3966335	COLI-K12-79 // TU0-42518
TERM0-1059	274	310	COLI-K12-0 // TU0-42486
TERM01023	758444	758450	COLI-K12-15 // TU0-6702
TERM0-1039	27252	27279	COLI-K12-0 // TU0-14465 // TU0-14253 // TU0-14395 // TU0-14394 // TU00291
TERM0-1195	3184478	3184520	TU0-13839 // COLI-K12-63
PHEM-T3	1799161	1799176	COLI-K12-36 // TU0-8856 // TU0-8855
TERM0-1191	789952	789977	TU0-42581 // COLI-K12-15
ACCCT1	3407286	3407302	TU0-42603 // COLI-K12-68 // TU00231
TERM0-1188	790823	790962	TU0-42578 // COLI-K12-15
TERM88	4621635	4621659	COLI-K12-92 // TU0-6646 // TU00018 // TU00017
TERM0-1083	3966342	3966359	COLI-K12-79 // TU0-42518
